기준연도,구분명,합계,1급,2급,3급,4급,초진일결정,등급외,결정보류,자격미달,확인불가,인과관계
2024,해당없음,16,0,0,0,0,0,0,0,0,0,16
2024,통증,29,0,0,0,11,0,18,0,0,0,0
2024,결핵/결핵성파괴폐,19,4,4,3,4,0,1,0,3,0,0
2024,패혈증,2,0,0,0,2,0,0,0,0,0,0
2024,설암,51,4,17,16,5,0,7,1,1,0,0
2024,구강암,49,3,19,16,4,0,6,0,1,0,0
2024,후두암/인두암,114,9,65,19,0,0,20,1,0,0,0
2024,비인강암,35,1,15,11,2,0,5,1,0,0,0
2024,식도암,79,14,44,6,0,0,13,1,1,0,0
2024,위암,461,28,283,51,0,0,90,3,6,0,0
2024,소장암/대장암/직장암,1417,55,839,344,2,0,159,12,6,0,0
2024,간암/담낭암/담도암,1007,56,398,245,122,0,160,10,16,0,0
2024,췌장암,411,49,267,62,0,0,29,2,2,0,0
2024,흉선암/폐암,1405,65,934,284,0,0,114,1,7,0,0
2024,골육종,50,2,26,9,11,0,2,0,0,0,0
2024,흑색종,68,4,32,11,5,0,16,0,0,0,0
2024,피부암/중피종,14,0,7,5,0,0,2,0,0,0,0
2024,복막암,30,2,14,4,0,0,10,0,0,0,0
2024,유방암,1881,27,974,346,2,0,506,12,13,1,0
2024,자궁암,360,16,198,75,2,0,67,2,0,0,0
2024,난소암,604,12,375,116,0,0,98,1,2,0,0
2024,전립선암,132,7,75,24,1,0,22,2,1,0,0
2024,고환암,7,0,2,4,0,0,1,0,0,0,0
2024,신장암,254,12,150,51,1,0,37,1,2,0,0
2024,요관암,39,3,23,7,0,0,3,2,1,0,0
2024,방광암,205,3,51,71,64,0,14,1,1,0,0
2024,뇌종양,323,59,116,66,34,0,34,8,6,0,0
2024,갑상선암,306,0,20,142,1,0,141,1,1,0,0
2024,기타(악성신생물),476,22,211,152,6,0,83,2,0,0,0
2024,부위불명암,4,0,1,3,0,0,0,0,0,0,0
2024,백혈병/림프종/다발성골수종,1767,40,123,1148,130,0,302,11,13,0,0
2024,재생불량성빈혈/용혈성빈혈,50,2,3,16,13,0,16,0,0,0,0
2024,혈소판감소성자반증/응고인자결핍증,32,1,6,13,0,0,11,1,0,0,0
2024,기타(혈액조혈기의장애),126,6,4,68,16,0,28,3,1,0,0
2024,당뇨,2,0,0,0,0,0,2,0,0,0,0
2024,(다리)당뇨병성괴사/버거씨병,66,2,30,11,11,0,12,0,0,0,0
2024,치매/알쯔하이머병,154,28,40,58,9,0,19,0,0,0,0
2024,기질성 정신장애,22,0,1,4,13,0,4,0,0,0,0
2024,알콜의존증,4,0,0,0,1,0,3,0,0,0,0
2024,조현병,878,0,10,702,95,0,51,1,18,1,0
2024,양극성장애,75,0,0,40,11,0,18,0,6,0,0
2024,우울증,34,0,0,4,4,0,25,0,1,0,0
2024,공황장애,1,0,0,0,0,0,1,0,0,0,0
2024,기타(정신또는신경계통의장애),56,0,3,13,16,0,22,0,2,0,0
2024,정신지체,8,0,1,0,0,0,0,0,7,0,0
2024,뇌염,33,11,6,7,6,0,1,2,0,0,0
2024,척수염,22,6,4,4,7,0,0,1,0,0,0
2024,뇌농양,2,1,0,0,1,0,0,0,0,0,0
2024,소뇌위축증,146,14,19,33,34,0,43,2,1,0,0
2024,"루게릭병(ALS,축색경화증)",206,83,50,30,23,0,16,4,0,0,0
2024,파킨슨병/비정형파킨슨증,365,36,25,61,101,0,140,1,1,0,0
2024,다발성경화증,7,0,2,2,1,0,2,0,0,0,0
2024,뇌전증,51,0,4,15,15,0,16,0,1,0,0
2024,말초신경병증,13,0,0,3,5,0,3,2,0,0,0
2024,중증근무력증,6,0,1,1,3,0,1,0,0,0,0
2024,기타(사지마비의장애),275,36,43,57,65,0,67,2,5,0,0
2024,포도막염/각막염/안내염/베체트씨병,56,5,0,0,39,0,11,1,0,0,0
2024,"각막,공막열상/안구파열",90,0,1,0,77,0,11,1,0,0,0
2024,망막박리,72,1,3,5,42,0,17,1,3,0,0
2024,망막정맥폐쇄/망막동맥폐쇄,28,1,0,2,21,0,2,2,0,0,0
2024,망막색소병증(변성),231,57,18,49,89,0,12,2,4,0,0
2024,당뇨망막병증,189,22,23,11,92,0,40,0,1,0,0
2024,녹내장/백내장,175,19,14,10,77,0,52,1,2,0,0
2024,"시신경병증,시신경위축",101,24,11,6,48,0,7,3,2,0,0
2024,기타(눈의장애),239,23,17,12,116,0,51,0,19,1,0
2024,중이염,4,0,0,0,0,0,0,0,4,0,0
2024,감각신경성난청,147,0,0,18,78,0,46,2,3,0,0
2024,기타(귀의장애),276,0,0,23,106,0,110,18,19,0,0
2024,협심증,2,0,0,0,0,0,2,0,0,0,0
2024,심근경색,19,0,1,3,4,0,11,0,0,0,0
2024,심근병증,60,0,2,33,7,0,18,0,0,0,0
2024,심부전,42,0,2,17,11,0,11,0,1,0,0
2024,기타(심장의장애),25,0,9,9,1,0,5,0,1,0,0
2024,뇌출혈,1557,383,313,500,203,0,136,18,4,0,0
2024,뇌경색,797,75,120,244,198,0,150,10,0,0,0
2024,폐렴,1,0,0,0,1,0,0,0,0,0,0
2024,기관지염,2,1,0,0,0,0,0,0,1,0,0
2024,폐기종,2,0,2,0,0,0,0,0,0,0,0
2024,만성폐쇄성폐질환,43,2,12,15,3,0,10,0,1,0,0
2024,천식,18,2,5,3,1,0,7,0,0,0,0
2024,기관지확장증,6,2,0,2,0,0,0,0,2,0,0
2024,진폐증,6,0,1,1,0,0,4,0,0,0,0
2024,간질성폐질환,91,13,19,16,23,0,18,0,2,0,0
2024,기타(호흡기의장애),46,4,11,10,13,0,4,0,4,0,0
2024,"악,안면골의 골절등",12,0,0,2,4,0,6,0,0,0,0
2024,기타(입의장애),13,0,6,2,1,0,1,3,0,0,0
2024,크론병,5,0,0,4,0,0,1,0,0,0,0
2024,장폐쇄,2,0,0,2,0,0,0,0,0,0,0
2024,(팔)관절염/골수염,22,0,0,1,11,0,9,0,1,0,0
2024,척추전방전위증,51,0,0,0,24,0,23,0,4,0,0
2024,강직성척추염,36,0,3,11,2,0,13,1,5,1,0
2024,척추협착증,301,1,5,10,152,0,126,0,7,0,0
2024,추간판탈출증,255,0,0,1,142,0,101,1,9,1,0
2024,후종인대골화증,58,0,0,13,30,0,15,0,0,0,0
2024,(다리)관절염/골수염,73,0,1,3,22,0,46,0,1,0,0
2024,(팔)무혈성괴사,4,0,1,0,2,0,1,0,0,0,0
2024,(다리)무혈성괴사,11,1,0,0,0,0,10,0,0,0,0
2024,만성신부전,7298,1,5122,233,535,2,1342,2,61,0,0
2024,기타(신장의장애),7,0,3,1,1,0,1,0,0,1,0
2024,방광염,2,0,0,0,2,0,0,0,0,0,0
2024,알콜성간질환,1,0,0,0,1,0,0,0,0,0,0
2024,간염,2,0,0,0,2,0,0,0,0,0,0
2024,간경변,592,6,40,63,177,0,277,8,21,0,0
2024,기타(간),30,0,0,1,24,0,5,0,0,0,0
2024,담낭염/췌장염,2,0,0,0,0,0,0,2,0,0,0
2024,신경섬유종증,2,0,0,1,1,0,0,0,0,0,0
2024,기타(복부골반장기의장애),63,0,9,30,14,0,5,5,0,0,0
2024,상세불명의 얼굴의 손상,1,0,0,0,1,0,0,0,0,0,0
2024,(팔)신경 손상,45,0,10,13,4,0,18,0,0,0,0
2024,(다리)신경 손상,49,0,0,2,30,0,15,1,1,0,0
2024,척추골절,187,3,7,18,131,0,27,1,0,0,0
2024,기타(척추의장애),187,2,6,11,90,0,73,1,4,0,0
2024,"(팔)절단,골절및 손상등",443,2,39,146,156,0,95,3,2,0,0
2024,기타(팔의 장애),48,1,2,12,12,0,21,0,0,0,0
2024,"(다리)절단,골절및 손상등",237,4,57,12,92,0,69,2,1,0,0
2024,기타(다리의장애),79,1,8,1,32,0,31,1,5,0,0
2024,화상,60,0,6,21,19,0,14,0,0,0,0
2024,뇌손상/뇌좌상,211,132,19,29,19,0,5,7,0,0,0
2024,척수손상,387,175,42,69,69,0,28,4,0,0,0
